"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","0","","cloud.autotests.jenkins.SkippedTests","","cloud.autotests.jenkins.SkippedTests","someTest1","someTest1()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest2","someTest2()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest","someTest()",""
"failed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.NegativeTests","","cloud.autotests.jenkins.NegativeTests","someTest5","someTest5()",""
"failed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.NegativeTests","","cloud.autotests.jenkins.NegativeTests","someTest4","someTest4()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","0","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest8","someTest8()",""
"failed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.NegativeTests","","cloud.autotests.jenkins.NegativeTests","someTest6","someTest6()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","0","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest5","someTest5()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","0","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest1","someTest1()",""
"failed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.NegativeTests","","cloud.autotests.jenkins.NegativeTests","someTest3","someTest3()",""
"failed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.NegativeTests","","cloud.autotests.jenkins.NegativeTests","someTest2","someTest2()",""
"skipped","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","0","","cloud.autotests.jenkins.SkippedTests","","cloud.autotests.jenkins.SkippedTests","someTest","someTest()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest3","someTest3()",""
"failed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","40","","cloud.autotests.jenkins.NegativeTests","","cloud.autotests.jenkins.NegativeTests","someTest1","someTest1()",""
"failed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.NegativeTests","","cloud.autotests.jenkins.NegativeTests","someTest","someTest()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","7","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest6","someTest6()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","3","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest9","someTest9()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest4","someTest4()",""
"passed","Thu Oct 26 12:02:38 GMT 2023","Thu Oct 26 12:02:38 GMT 2023","1","","cloud.autotests.jenkins.PositiveTests","","cloud.autotests.jenkins.PositiveTests","someTest7","someTest7()",""
